"","state","county_name","population","total_votes","proportion_democrat","tercile"
"85","ARKANSAS","ASHLEY",NA,7673,0.276945132282028,1
"86","ARKANSAS","BAXTER",NA,20471,0.226417859410874,1
"87","ARKANSAS","BENTON",NA,116214,0.363544839692292,1
"88","ARKANSAS","BOONE",NA,16716,0.183297439578847,1
"89","ARKANSAS","BRADLEY",NA,3549,0.342068188222034,1
"90","ARKANSAS","CALHOUN",NA,2115,0.226477541371158,1
"91","ARKANSAS","CARROLL",NA,11447,0.351445793657727,1
"92","ARKANSAS","CHICOT",NA,4012,0.563310069790628,-1
"93","ARKANSAS","CLARK",NA,8054,0.42686863670226,1
"94","ARKANSAS","CLAY",NA,5048,0.190570522979398,1
"95","ARKANSAS","CLEBURNE",NA,12316,0.161416044170185,1
"96","ARKANSAS","CLEVELAND",NA,3518,0.185048322910745,1
"97","ARKANSAS","COLUMBIA",NA,8314,0.338465239355304,1
"98","ARKANSAS","CONWAY",NA,8309,0.314718979419906,1
"99","ARKANSAS","CRAIGHEAD",NA,37479,0.318071453347208,1
"100","ARKANSAS","CRAWFORD",NA,23566,0.21043028091318,1
"101","ARKANSAS","CRITTENDEN",NA,15847,0.537262573357733,0
"102","ARKANSAS","CROSS",NA,6718,0.263768978862757,1
"103","ARKANSAS","DALLAS",NA,2536,0.379731861198738,1
"104","ARKANSAS","DESHA",NA,3937,0.512065024130048,0
"105","ARKANSAS","DREW",NA,6775,0.358081180811808,1
"106","ARKANSAS","FAULKNER",NA,52768,0.347691782898726,1
"107","ARKANSAS","FRANKLIN",NA,6977,0.186326501361617,1
"108","ARKANSAS","FULTON",NA,4996,0.207165732586069,1
"109","ARKANSAS","GARLAND",NA,43114,0.325764252910887,1
"110","ARKANSAS","GRANT",NA,8062,0.157281071694369,1
"111","ARKANSAS","GREENE",NA,15728,0.194430315361139,1
"112","ARKANSAS","HEMPSTEAD",NA,6608,0.323547215496368,1
"113","ARKANSAS","HOT SPRING",NA,12284,0.25089547378704,1
"114","ARKANSAS","HOWARD",NA,4707,0.284682387932866,1
"115","ARKANSAS","INDEPENDENCE",NA,14056,0.199630051223677,1
"116","ARKANSAS","IZARD",NA,5652,0.180644019815994,1
"117","ARKANSAS","JACKSON",NA,4958,0.275312626058895,1
"118","ARKANSAS","JEFFERSON",NA,24502,0.611419475961146,-1
"119","ARKANSAS","JOHNSON",NA,9221,0.247587029606333,1
"120","ARKANSAS","LAFAYETTE",NA,2596,0.323189522342065,1
"121","ARKANSAS","LAWRENCE",NA,5649,0.191184280403611,1
"122","ARKANSAS","LEE",NA,2709,0.525286083425618,0
"123","ARKANSAS","LINCOLN",NA,3761,0.274395107684127,1
"124","ARKANSAS","LITTLE RIVER",NA,4941,0.248127909330095,1
"125","ARKANSAS","LOGAN",NA,7985,0.193362554790232,1
"126","ARKANSAS","LONOKE",NA,29570,0.226107541427122,1
"127","ARKANSAS","MADISON",NA,7221,0.216452014956377,1
"128","ARKANSAS","MARION",NA,7314,0.209324582991523,1
"129","ARKANSAS","MILLER",NA,16165,0.262604392205382,1
"130","ARKANSAS","MISSISSIPPI",NA,11854,0.384511557280243,1
"131","ARKANSAS","MONROE",NA,2692,0.426077265973254,1
"132","ARKANSAS","MONTGOMERY",NA,3777,0.193539846438973,1
"133","ARKANSAS","NEVADA",NA,3209,0.33530694920536,1
"134","ARKANSAS","NEWTON",NA,3901,0.181748269674442,1
"135","ARKANSAS","OUACHITA",NA,9289,0.430078587576704,1
"136","ARKANSAS","PERRY",NA,4491,0.225339568024939,1
"137","ARKANSAS","PHILLIPS",NA,6040,0.599834437086093,-1
"138","ARKANSAS","PIKE",NA,4163,0.154696132596685,1
"139","ARKANSAS","POINSETT",NA,7342,0.193952601470989,1
"140","ARKANSAS","POLK",NA,8281,0.150464919695689,1
"141","ARKANSAS","POPE",NA,23853,0.241982140611244,1
"142","ARKANSAS","PRAIRIE",NA,3440,0.190116279069767,1
"143","ARKANSAS","PULASKI",NA,165634,0.615495610804545,-1
"144","ARKANSAS","RANDOLPH",NA,6570,0.184931506849315,1
"145","ARKANSAS","SALINE",NA,55616,0.28876582278481,1
"146","ARKANSAS","SCOTT",NA,3445,0.140203193033382,1
"147","ARKANSAS","SEARCY",NA,3953,0.148747786491272,1
"148","ARKANSAS","SEBASTIAN",NA,45685,0.317106271204991,1
"149","ARKANSAS","SEVIER",NA,5000,0.2232,1
"150","ARKANSAS","SHARP",NA,7336,0.190567066521265,1
"151","ARKANSAS","ST FRANCIS",NA,6846,0.526438796377447,0
"152","ARKANSAS","STONE",NA,5796,0.203588681849551,1
"153","ARKANSAS","UNION",NA,16062,0.347652845224754,1
"154","ARKANSAS","VAN BUREN",NA,7627,0.208863248983873,1
"155","ARKANSAS","WASHINGTON",NA,91328,0.479852838121934,0
"156","ARKANSAS","WHITE",NA,30160,0.198209549071618,1
"157","ARKANSAS","WOODRUFF",NA,2399,0.356815339724885,1
"158","ARKANSAS","YELL",NA,6510,0.197235023041475,1
"159","CALIFORNIA","ALAMEDA",NA,753968,0.819211160155338,-1
"160","CALIFORNIA","ALPINE",NA,720,0.661111111111111,-1
"161","CALIFORNIA","AMADOR",NA,21738,0.375057502990156,1
"162","CALIFORNIA","BUTTE",NA,99634,0.510016660979184,0
"163","CALIFORNIA","CALAVERAS",NA,26564,0.378180996837826,1
"164","CALIFORNIA","COLUSA",NA,7798,0.415362913567581,1
"165","CALIFORNIA","CONTRA COSTA",NA,569263,0.731447503175158,-1
"166","CALIFORNIA","DEL NORTE",NA,11138,0.419913808583229,1
"167","CALIFORNIA","EL DORADO",NA,113459,0.454974924862726,0
"168","CALIFORNIA","FRESNO",NA,357489,0.539946683674183,0
"169","CALIFORNIA","GLENN",NA,11058,0.361276903599204,1
"170","CALIFORNIA","HUMBOLDT",NA,66538,0.672818539781779,-1
"171","CALIFORNIA","IMPERIAL",NA,55525,0.624547501125619,-1
"172","CALIFORNIA","INYO",NA,9254,0.500756429652042,0
"173","CALIFORNIA","KERN",NA,297850,0.447762296457949,1
"174","CALIFORNIA","KINGS",NA,42771,0.437188749386266,1
"175","CALIFORNIA","LAKE",NA,28064,0.532390250855188,0
"176","CALIFORNIA","LASSEN",NA,11769,0.237828192709661,1
"177","CALIFORNIA","LOS ANGELES",NA,4174415,0.725583105656721,-1
"178","CALIFORNIA","MADERA",NA,52546,0.440908917900506,1
"179","CALIFORNIA","MARIN",NA,152900,0.839032047089601,-1
"180","CALIFORNIA","MARIPOSA",NA,10038,0.407252440725244,1
"181","CALIFORNIA","MENDOCINO",NA,42049,0.684487145948774,-1
"182","CALIFORNIA","MERCED",NA,88388,0.554272073132099,-1
"183","CALIFORNIA","MODOC",NA,4259,0.270016435783048,1
"184","CALIFORNIA","MONO",NA,6526,0.614924915721728,-1
"185","CALIFORNIA","MONTEREY",NA,160252,0.711086289094676,-1
"186","CALIFORNIA","NAPA",NA,70493,0.706694281701729,-1
"187","CALIFORNIA","NEVADA",NA,63138,0.575865564319427,-1
"188","CALIFORNIA","ORANGE",NA,1490507,0.546128934651095,0
"189","CALIFORNIA","PLACER",NA,229357,0.465950461507606,0
"190","CALIFORNIA","PLUMAS",NA,11006,0.41441032164274,1
"191","CALIFORNIA","RIVERSIDE",NA,977484,0.540510125996947,0
"192","CALIFORNIA","SACRAMENTO",NA,700213,0.629534156035378,-1
"193","CALIFORNIA","SAN BENITO",NA,28218,0.624707633425473,-1
"194","CALIFORNIA","SAN BERNARDINO",NA,822116,0.554494742834345,-1
"195","CALIFORNIA","SAN DIEGO",NA,1564744,0.616490620829989,-1
"196","CALIFORNIA","SAN FRANCISCO",NA,434573,0.87017831296468,-1
"197","CALIFORNIA","SAN JOAQUIN",NA,282235,0.570932024731164,-1
"198","CALIFORNIA","SAN LUIS OBISPO",NA,155746,0.56701295699408,-1
"199","CALIFORNIA","SAN MATEO",NA,367080,0.79409393047837,-1
"200","CALIFORNIA","SANTA BARBARA",NA,195699,0.664096392929959,-1
"201","CALIFORNIA","SANTA CLARA",NA,832579,0.742232268649582,-1
"202","CALIFORNIA","SANTA CRUZ",NA,141183,0.809205074265315,-1
"203","CALIFORNIA","SHASTA",NA,90789,0.330436506625252,1
"204","CALIFORNIA","SIERRA",NA,1872,0.389957264957265,1
"205","CALIFORNIA","SISKIYOU",NA,22883,0.419219507931652,1
"206","CALIFORNIA","SOLANO",NA,200945,0.655099654134216,-1
"207","CALIFORNIA","SONOMA",NA,261763,0.763813067545833,-1
"208","CALIFORNIA","STANISLAUS",NA,209986,0.504038364462393,0
"209","CALIFORNIA","SUTTER",NA,41742,0.416055771165732,1
"210","CALIFORNIA","TEHAMA",NA,28052,0.317660059888778,1
"211","CALIFORNIA","TRINITY",NA,6039,0.472098029475079,0
"212","CALIFORNIA","TULARE",NA,143684,0.460072102669748,0
"213","CALIFORNIA","TUOLUMNE",NA,29667,0.40374827249132,1
"214","CALIFORNIA","VENTURA",NA,413595,0.607811989990208,-1
"215","CALIFORNIA","YOLO",NA,94890,0.712382758984087,-1
"216","CALIFORNIA","YUBA",NA,28906,0.388500657302982,1
"217","COLORADO","ADAMS",NA,229859,0.583844878817014,-1
"218","COLORADO","ALAMOSA",NA,7572,0.496434231378764,0
"219","COLORADO","ARAPAHOE",NA,340930,0.626542105417534,-1
"220","COLORADO","ARCHULETA",NA,8927,0.418729696426571,1
"221","COLORADO","BACA",NA,2184,0.14514652014652,1
"222","COLORADO","BENT",NA,2235,0.32751677852349,1
"223","COLORADO","BOULDER",NA,201590,0.789171089835805,-1
"224","COLORADO","BROOMFIELD",NA,45372,0.640857797760733,-1
"225","COLORADO","CHAFFEE",NA,13382,0.535047078164699,0
"226","COLORADO","CHEYENNE",NA,1124,0.116548042704626,1
"227","COLORADO","CLEAR CREEK",NA,6358,0.566844919786096,-1
"228","COLORADO","CONEJOS",NA,4245,0.461484098939929,0
"229","COLORADO","COSTILLA",NA,2052,0.638888888888889,-1
"230","COLORADO","CROWLEY",NA,1708,0.255854800936768,1
