"","state_lower","zipcode","county"
"171","massachusetts","01060","Hampshire"
"172","massachusetts","01062","Hampshire"
"173","massachusetts","01063","Hampshire"
"174","massachusetts","01066","Hampshire"
"175","massachusetts","01068","Worcester"
"176","massachusetts","01069","Hampden"
"177","massachusetts","01070","Hampshire"
"178","massachusetts","01071","Hampden"
"179","massachusetts","01072","Franklin"
"180","massachusetts","01073","Hampshire"
"181","massachusetts","01074","Worcester"
"182","massachusetts","01075","Hampshire"
"183","massachusetts","01077","Hampden"
"184","massachusetts","01079","Hampden"
"185","massachusetts","01080","Hampden"
"186","massachusetts","01081","Hampden"
"187","massachusetts","01082","Hampshire"
"188","massachusetts","01083","Worcester"
"189","massachusetts","01084","Hampshire"
"190","massachusetts","01085","Hampden"
"191","massachusetts","01088","Hampshire"
"192","massachusetts","01089","Hampden"
"193","massachusetts","01092","Worcester"
"194","massachusetts","01093","Franklin"
"195","massachusetts","01094","Worcester"
"196","massachusetts","01095","Hampden"
"197","massachusetts","01096","Hampshire"
"198","massachusetts","01097","Hampden"
"199","massachusetts","01098","Hampshire"
"200","massachusetts","01103","Hampden"
"201","massachusetts","01104","Hampden"
"202","massachusetts","01105","Hampden"
"203","massachusetts","01106","Hampden"
"204","massachusetts","01107","Hampden"
"205","massachusetts","01108","Hampden"
"206","massachusetts","01109","Hampden"
"207","massachusetts","01118","Hampden"
"208","massachusetts","01119","Hampden"
"209","massachusetts","01128","Hampden"
"210","massachusetts","01129","Hampden"
"211","massachusetts","01144","Hampden"
"212","massachusetts","01151","Hampden"
"213","massachusetts","01201","Berkshire"
"214","massachusetts","01220","Berkshire"
"215","massachusetts","01222","Berkshire"
"216","massachusetts","01223","Berkshire"
"217","massachusetts","01224","Berkshire"
"218","massachusetts","01225","Berkshire"
"219","massachusetts","01226","Berkshire"
"220","massachusetts","01229","Berkshire"
"221","massachusetts","01230","Berkshire"
"222","massachusetts","01235","Berkshire"
"223","massachusetts","01236","Berkshire"
"224","massachusetts","01237","Berkshire"
"225","massachusetts","01238","Berkshire"
"226","massachusetts","01240","Berkshire"
